Population_2020,Population_2015,Population_2010,Population_2005,Area_Codes,Name(Japanese),Merged,Established after 2005,prefecture_romaji,latitude,longitude
0.0,0.0,0.0,5235.0,46445.0,横川町,1,0,Kagoshima Ken,31.90364,130.70292
0.0,0.0,0.0,8621.0,46444.0,溝辺町,1,0,Kagoshima Ken,31.83067,130.67936
0.0,0.0,0.0,7261.0,46443.0,蒲生町,1,0,Kagoshima Ken,31.76219,130.56994
0.0,0.0,0.0,44671.0,46442.0,姶良町,1,0,Kagoshima Ken,31.72822,130.62775
0.0,0.0,0.0,22908.0,46441.0,加治木町,1,0,Kagoshima Ken,31.73828,130.6615
0.0,0.0,0.0,9380.0,46421.0,菱刈町,1,0,Kagoshima Ken,32.01272,130.64372
9705.0,10431.0,11105.0,5003.0,46404.0,長島町,0,0,Kagoshima Ken,32.1833333333,130.1666666667
0.0,0.0,0.0,6955.0,46403.0,東町,1,0,Kagoshima Ken,32.19933,130.17678
0.0,0.0,0.0,14000.0,46402.0,高尾野町,1,0,Kagoshima Ken,32.06103,130.30414
0.0,0.0,0.0,4752.0,46401.0,野田町,1,0,Kagoshima Ken,32.06086,130.26783
20243.0,22400.0,24109.0,25688.0,46392.0,さつま町,0,0,Kagoshima Ken,31.9,130.45
0.0,0.0,0.0,7873.0,46368.0,金峰町,1,0,Kagoshima Ken,31.45,130.33333
0.0,0.0,0.0,7114.0,46361.0,市来町,1,0,Kagoshima Ken,31.69475,130.28939
0.0,0.0,0.0,14809.0,46345.0,川辺町,1,0,Kagoshima Ken,31.39131,130.3935
0.0,0.0,0.0,13256.0,46344.0,知覧町,1,0,Kagoshima Ken,31.37825,130.441611
0.0,0.0,0.0,4173.0,46343.0,坊津町,1,0,Kagoshima Ken,31.30872,130.22603
0.0,0.0,0.0,2678.0,46342.0,大浦町,1,0,Kagoshima Ken,31.3775,130.225833
0.0,0.0,0.0,3447.0,46341.0,笠沙町,1,0,Kagoshima Ken,31.40689,130.19169
0.0,0.0,0.0,6847.0,46324.0,開聞町,1,0,Kagoshima Ken,31.2036,130.5375
0.0,0.0,0.0,14126.0,46323.0,頴娃町,1,0,Kagoshima Ken,31.2394,130.4922
0.0,0.0,0.0,10326.0,46322.0,山川町,1,0,Kagoshima Ken,31.20372,130.63969
740.0,756.0,657.0,673.0,46304.0,十島村,0,0,Kagoshima Ken,31.5833333333,130.55
405.0,407.0,418.0,462.0,46303.0,三島村,0,0,Kagoshima Ken,31.5833333333,130.55
76348.0,75173.0,74809.0,0.0,46225.0,姶良市,0,1,Kagoshima Ken,31.716666666666665,130.61666666666667
24453.0,26810.0,29304.0,0.0,46224.0,伊佐市,0,1,Kagoshima Ken,32.05,130.6
33080.0,36352.0,39065.0,0.0,46223.0,南九州市,0,1,Kagoshima Ken,31.366666666666667,130.43333333333334
41390.0,43156.0,46121.0,0.0,46222.0,奄美市,0,1,Kagoshima Ken,28.3666666667,129.4833333333
29329.0,31479.0,33034.0,0.0,46221.0,志布志市,0,1,Kagoshima Ken,31.4833333333,131.0333333333
32887.0,35439.0,38704.0,0.0,46220.0,南さつま市,0,1,Kagoshima Ken,31.4166666667,130.3166666667
27490.0,29282.0,31144.0,0.0,46219.0,いちき串木野市,0,1,Kagoshima Ken,31.7,130.2666666667
123135.0,125857.0,127487.0,0.0,46218.0,霧島市,0,1,Kagoshima Ken,31.7333333333,130.75
33310.0,36557.0,39221.0,42287.0,46217.0,曽於市,0,0,Kagoshima Ken,31.65,131.0166666667
47153.0,49249.0,50822.0,52411.0,46216.0,日置市,0,0,Kagoshima Ken,31.6333333333,130.4
92403.0,96076.0,99589.0,102370.0,46215.0,薩摩川内市,0,0,Kagoshima Ken,31.8,130.3
13819.0,15520.0,17248.0,18928.0,46214.0,垂水市,0,0,Kagoshima Ken,31.4833333333,130.7
14708.0,15967.0,16951.0,18198.0,46213.0,西之表市,0,0,Kagoshima Ken,30.7166666667,130.9833333333
0.0,0.0,0.0,55341.0,46212.0,国分市,1,0,Kagoshima Ken,31.74103,130.76314
0.0,0.0,0.0,23506.0,46211.0,加世田市,1,0,Kagoshima Ken,31.41658,130.3235
39011.0,41831.0,44396.0,29649.0,46210.0,指宿市,0,0,Kagoshima Ken,31.25,130.6166666667
0.0,0.0,0.0,22119.0,46209.0,大口市,1,0,Kagoshima Ken,32.05717,130.61294
51994.0,53758.0,55621.0,39155.0,46208.0,出水市,0,0,Kagoshima Ken,32.0833333333,130.35
0.0,0.0,0.0,41049.0,46207.0,名瀬市,1,0,Kagoshima Ken,28.37728,129.49378
19270.0,21198.0,23154.0,25072.0,46206.0,阿久根市,0,0,Kagoshima Ken,32.0,130.1833333333
0.0,0.0,0.0,25879.0,46205.0,串木野市,1,0,Kagoshima Ken,31.71456,130.27194
20033.0,22046.0,23638.0,25150.0,46204.0,枕崎市,0,0,Kagoshima Ken,31.2666666667,130.2833333333
101096.0,103608.0,105070.0,81471.0,46203.0,鹿屋市,0,0,Kagoshima Ken,31.3666666667,130.85
593128.0,599814.0,605846.0,604367.0,46201.0,鹿児島市,0,0,Kagoshima Ken,31.5833333333,130.55
