threshold,split,precision,recall,f1,tp,fp,fn,tn,overall_median_ape,overall_mae_yen,overall_within_25pct,cheap_median_ape,cheap_mae_yen,cheap_within_25pct,normal_median_ape,normal_mae_yen,normal_within_25pct
0.6,dev,0.06905519931841621,0.8603351955307262,0.12784857415632395,1540,20761,250,192458,0.18892059859882904,6654449.608384899,0.6082024473394138,0.44141438084842405,1546070.322571853,0.2245810055865922,0.187542206415426,6697335.087266264,0.6114229970124614
0.6,test,0.06716554115714546,0.8459770114942529,0.12445045654379439,1472,20444,268,192826,0.18704245695746047,6678814.99335941,0.6114878377749872,0.453411166199126,1674961.9753328438,0.2189655172413793,0.18556886680320384,6719639.789399012,0.6146902986824213
0.7,dev,0.08156532620442523,0.8011173184357542,0.1480563729286046,1434,16147,356,197072,0.18574375186253428,6561743.529783798,0.6165741899176314,0.45916128243263754,1882494.9104873713,0.211731843575419,0.1843843307112484,6601026.403395158,0.619972891721657
0.7,test,0.08084982537834691,0.7982758620689655,0.14682875264270612,1389,15791,351,197479,0.1837565088267964,6582947.459736246,0.6198688433096136,0.4679796210987452,1918420.7477220916,0.20862068965517241,0.18247339571929613,6621003.8037082255,0.6232240821493881
0.8,dev,0.10561001729961282,0.7162011173184357,0.18407638739320842,1282,10857,508,202362,0.18266589720420398,6472707.598120934,0.6254575389867401,0.5098987899116038,2270687.773783743,0.19050279329608938,0.181343253815987,6507984.076697252,0.6291090381251202
0.8,test,0.10240053718314587,0.7011494252873564,0.17870221180606416,1220,10694,520,202576,0.18095202050428677,6497388.52257087,0.6281103204502116,0.5250993801220751,2383146.1304201055,0.1793103448275862,0.17942744703762317,6530955.277212135,0.6317719322923993
0.85,dev,0.12546940578749724,0.6346368715083799,0.20951678347473257,1136,7918,654,205301,0.18110598369337258,6433004.137912041,0.6302201303201261,0.6340395768566194,2585745.0459152553,0.16871508379888267,0.17972134542309226,6465302.356057112,0.6340945225331701
0.85,test,0.12429378531073447,0.632183908045977,0.2077431539187913,1100,7750,640,205520,0.17920287245299968,6455796.883904009,0.6329287009906516,0.6351706518673863,2645631.5994135933,0.16264367816091954,0.1778253550377191,6486882.773128995,0.6367656022881794
0.9,dev,0.1608303249097473,0.4977653631284916,0.24311050477489768,891,4649,899,208570,0.1795057276183386,6394443.281353986,0.6351269016645815,2.622831380897781,3029915.538967802,0.1318435754189944,0.17806515118516866,6422688.909833958,0.6393520277273601
0.9,test,0.16014692378328743,0.5011494252873563,0.24272790535838554,872,4573,868,208697,0.17761924013340913,6420196.570588641,0.6379889307474071,2.5895438103706696,3079614.327778987,0.12643678160919541,0.17610117468876002,6447451.285750123,0.6421625169972336
0.93,dev,0.20277777777777778,0.36703910614525137,0.26123260437375745,657,2583,1133,210636,0.17861885431790797,6375417.407270453,0.6380291057583636,3.6839435235097864,3331154.297049205,0.09776536312849161,0.1771157271209485,6400974.374366705,0.6425646870119455
0.93,test,0.19589905362776025,0.3568965517241379,0.2529531568228106,621,2549,1119,210721,0.17661912950891062,6401812.995448579,0.6410911120413004,3.7205466242983363,3430444.9426879254,0.09540229885057472,0.1750072840933313,6426055.413096649,0.6455432081399165
0.95,dev,0.24626419605499103,0.23016759776536314,0.23794397920877852,412,1261,1378,211958,0.1781374705081364,6366184.654681602,0.6397360110507002,4.238212700553487,3573906.456615776,0.054748603351955305,0.17653637111663667,6389626.177128185,0.6446470530299833
0.95,test,0.25488958990536276,0.23218390804597702,0.24300751879699248,404,1181,1336,212089,0.1760052576611268,6392105.185508127,0.6429561415748105,4.294990281320235,3658578.7917384417,0.05919540229885058,0.1743811983033095,6414407.131047394,0.6477188540347916
0.97,dev,0.35789473684210527,0.07597765363128492,0.12534562211981568,136,244,1654,212975,0.17775359163706358,6361102.081903314,0.6410708388951161,4.667318803763935,3749494.7446676395,0.021229050279329607,0.17605225808731367,6383026.850022724,0.6462744877332696
